s 	l 	c 	ped	ped_rms	gain_pc	gain_mv	thr_npe	
4	2	6	200.0	10.0	20.0	10.100398914974464	2.5	
4	2	7	200.0	10.0	20.0	10.099496938873342	2.5	
4	2	8	200.0	10.0	20.0	10.100274210429834	2.5	
4	2	9	200.0	10.0	20.0	10.10033890382907	2.5	
4	2	10	200.0	10.0	20.0	10.100419897326717	2.5	
4	2	11	200.0	10.0	20.0	10.100643251697631	2.5	
4	2	12	200.0	10.0	20.0	10.100338856596114	2.5	
4	2	13	200.0	10.0	20.0	0.0	2.5	
4	2	14	200.0	10.0	20.0	0.0	2.5	
4	2	15	200.0	10.0	20.0	0.0	2.5	
4	2	16	200.0	10.0	20.0	0.0	2.5	
4	2	17	200.0	10.0	20.0	0.0	2.5	
4	2	18	200.0	10.0	20.0	0.0	2.5	
4	2	19	200.0	10.0	20.0	0.0	2.5	
4	2	20	200.0	10.0	20.0	0.0	2.5	
5	1	1	200.0	10.0	20.0	0.0	2.5	
5	1	2	200.0	10.0	20.0	0.0	2.5	
5	1	3	200.0	10.0	20.0	0.0	2.5	
5	1	4	200.0	10.0	20.0	0.0	2.5	
5	1	5	200.0	10.0	20.0	0.0	2.5	
5	1	6	200.0	10.0	20.0	0.0	2.5	
5	1	7	200.0	10.0	20.0	0.0	2.5	
5	1	8	200.0	10.0	20.0	0.0	2.5	
5	1	9	200.0	10.0	20.0	0.0	2.5	
5	2	1	200.0	10.0	20.0	0.0	2.5	
5	2	2	200.0	10.0	20.0	0.0	2.5	
5	2	3	200.0	10.0	20.0	0.0	2.5	
5	2	4	200.0	10.0	20.0	0.0	2.5	
5	2	5	200.0	10.0	20.0	10.100286327974008	2.5	
5	2	6	200.0	10.0	20.0	0.0	2.5	
5	2	7	200.0	10.0	20.0	10.100321784447932	2.5	
5	2	8	200.0	10.0	20.0	10.100230460324454	2.5	
5	2	9	200.0	10.0	20.0	0.0	2.5	
6	1	1	200.0	10.0	20.0	0.0	2.5	
6	1	2	200.0	10.0	20.0	0.0	2.5	
6	1	3	200.0	10.0	20.0	0.0	2.5	
6	1	4	200.0	10.0	20.0	0.0	2.5	
6	1	5	200.0	10.0	20.0	0.0	2.5	
6	1	6	200.0	10.0	20.0	0.0	2.5	
6	1	7	200.0	10.0	20.0	0.0	2.5	
6	1	8	200.0	10.0	20.0	0.0	2.5	
6	1	9	200.0	10.0	20.0	0.0	2.5	
6	1	10	200.0	10.0	20.0	0.0	2.5	
6	1	11	200.0	10.0	20.0	0.0	2.5	
6	1	12	200.0	10.0	20.0	0.0	2.5	
6	1	13	200.0	10.0	20.0	0.0	2.5	
6	1	14	200.0	10.0	20.0	0.0	2.5	
6	1	15	200.0	10.0	20.0	0.0	2.5	
6	1	16	200.0	10.0	20.0	0.0	2.5	
6	1	17	200.0	10.0	20.0	0.0	2.5	
6	1	18	200.0	10.0	20.0	0.0	2.5	
6	1	19	200.0	10.0	20.0	0.0	2.5	
6	1	20	200.0	10.0	20.0	0.0	2.5	
6	2	1	200.0	10.0	20.0	0.0	2.5	
6	2	2	200.0	10.0	20.0	0.0	2.5	
6	2	3	200.0	10.0	20.0	0.0	2.5	
6	2	4	200.0	10.0	20.0	0.0	2.5	
6	2	5	200.0	10.0	20.0	10.099520583251879	2.5	
6	2	6	200.0	10.0	20.0	10.099449186096116	2.5	
6	2	7	200.0	10.0	20.0	10.100220425373646	2.5	
6	2	8	200.0	10.0	20.0	10.099496938873342	2.5	
6	2	9	200.0	10.0	20.0	10.1003334748372	2.5	
6	2	10	200.0	10.0	20.0	10.10023926021848	2.5	
6	2	11	200.0	10.0	20.0	10.100241224892741	2.5	
6	2	12	200.0	10.0	20.0	10.100390888819824	2.5	
6	2	13	200.0	10.0	20.0	0.0	2.5	
6	2	14	200.0	10.0	20.0	0.0	2.5	
6	2	15	200.0	10.0	20.0	0.0	2.5	
6	2	16	200.0	10.0	20.0	0.0	2.5	
6	2	17	200.0	10.0	20.0	0.0	2.5	
6	2	18	200.0	10.0	20.0	0.0	2.5	
6	2	19	200.0	10.0	20.0	0.0	2.5	
6	2	20	200.0	10.0	20.0	0.0	2.5	
7	1	1	200.0	10.0	20.0	0.0	2.5	
7	1	2	200.0	10.0	20.0	0.0	2.5	
7	1	3	200.0	10.0	20.0	0.0	2.5	
7	1	4	200.0	10.0	20.0	0.0	2.5	
7	1	5	200.0	10.0	20.0	0.0	2.5	
7	1	6	200.0	10.0	20.0	0.0	2.5	
7	1	7	200.0	10.0	20.0	0.0	2.5	
7	1	8	200.0	10.0	20.0	0.0	2.5	
7	1	9	200.0	10.0	20.0	0.0	2.5	
7	2	1	200.0	10.0	20.0	0.0	2.5	
7	2	2	200.0	10.0	20.0	0.0	2.5	
7	2	3	200.0	10.0	20.0	0.0	2.5	
7	2	4	200.0	10.0	20.0	0.0	2.5	
7	2	5	200.0	10.0	20.0	10.100286327974008	2.5	
7	2	6	200.0	10.0	20.0	0.0	2.5	
7	2	7	200.0	10.0	20.0	10.100274210429834	2.5	
7	2	8	200.0	10.0	20.0	10.100230460324454	2.5	
7	2	9	200.0	10.0	20.0	0.0	2.5	
8	1	1	200.0	10.0	20.0	0.0	2.5	
8	1	2	200.0	10.0	20.0	0.0	2.5	
8	1	3	200.0	10.0	20.0	0.0	2.5	
8	1	4	200.0	10.0	20.0	0.0	2.5	
8	1	5	200.0	10.0	20.0	0.0	2.5	
8	1	6	200.0	10.0	20.0	0.0	2.5	
8	1	7	200.0	10.0	20.0	0.0	2.5	
8	1	8	200.0	10.0	20.0	0.0	2.5	
8	1	9	200.0	10.0	20.0	0.0	2.5	
8	1	10	200.0	10.0	20.0	0.0	2.5	
8	1	11	200.0	10.0	20.0	0.0	2.5	
8	1	12	200.0	10.0	20.0	0.0	2.5	
8	1	13	200.0	10.0	20.0	0.0	2.5	
8	1	14	200.0	10.0	20.0	0.0	2.5	
8	1	15	200.0	10.0	20.0	0.0	2.5	
8	1	16	200.0	10.0	20.0	0.0	2.5	
8	1	17	200.0	10.0	20.0	0.0	2.5	
8	1	18	200.0	10.0	20.0	0.0	2.5	
8	1	19	200.0	10.0	20.0	0.0	2.5	
8	1	20	200.0	10.0	20.0	0.0	2.5	
8	2	1	200.0	10.0	20.0	0.0	2.5	
8	2	2	200.0	10.0	20.0	0.0	2.5	
8	2	3	200.0	10.0	20.0	0.0	2.5	
8	2	4	200.0	10.0	20.0	0.0	2.5	
8	2	5	200.0	10.0	20.0	10.100274210429834	2.5	
8	2	6	200.0	10.0	20.0	10.100275012003896	2.5	
8	2	7	200.0	10.0	20.0	10.100274210429834	2.5	
8	2	8	200.0	10.0	20.0	10.099429443692241	2.5	
8	2	9	200.0	10.0	20.0	10.100481418105622	2.5	
8	2	10	200.0	10.0	20.0	10.100275756387425	2.5	
8	2	11	200.0	10.0	20.0	10.100254454681087	2.5	
8	2	12	200.0	10.0	20.0	10.100341543516452	2.5	
8	2	13	200.0	10.0	20.0	0.0	2.5	
8	2	14	200.0	10.0	20.0	0.0	2.5	
8	2	15	200.0	10.0	20.0	0.0	2.5	
8	2	16	200.0	10.0	20.0	0.0	2.5	
8	2	17	200.0	10.0	20.0	0.0	2.5	
8	2	18	200.0	10.0	20.0	0.0	2.5	
8	2	19	200.0	10.0	20.0	0.0	2.5	
8	2	20	200.0	10.0	20.0	0.0	2.5	
